variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-17,4,27.189065713504267,1.2435074016711098,0.0,9.393500941895283,0.0,16.55205736993787,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,4,26.201156041576844,0.9605362920760285,0.0,8.457461212325498,0.0,16.783158537175325,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,5,27.189065713504267,0.7403674479219831,0.0,-11.293341632763983,0.0,37.74203989834626,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,5,26.201156041576844,0.7318459046965415,0.0,-10.885414087861903,0.0,36.3547242247422,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,6,27.189065713504267,0.3177712312291021,0.0,-21.677369074795962,0.0,48.548663557071166,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,6,26.201156041576844,0.3177712312291021,0.0,-21.677369074795962,0.0,47.5607538851437,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,7,27.189065713504267,0.6001320318354146,0.0,-7.050068017730673,0.0,33.6390016993995,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,7,26.201156041576844,0.5938143242702836,0.0,-6.2014550336476475,0.0,31.808796750954173,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,8,27.189065713504267,0.6079720113369262,0.0,-22.93195511377234,0.0,49.5130488159397,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,8,26.201156041576844,0.6079720113369262,0.0,-22.93195511377234,0.0,48.52513914401226,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,9,27.189065713504267,0.5833066451221782,0.0,-0.9716664123529384,0.0,27.57742548073503,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,9,26.201156041576844,0.5743018784078799,0.0,-0.36195681713532224,0.0,25.988810980304265,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,10,27.189065713504267,0.6518984312613156,0.0,-10.452362456875946,0.0,36.98952973911895,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,10,26.201156041576844,0.638681076015672,0.0,-10.097143759652525,0.0,35.659618725213704,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,11,27.189065713504267,0.4285233118943097,0.0,-16.085728895740203,0.0,42.84627129735017,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,11,26.201156041576844,0.4285233118943097,0.0,-16.085728895740203,0.0,41.85836162542273,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,12,27.189065713504267,-0.5977677895675981,0.8139513568258314,11.907207199715856,8.60595640543277,15.06567494653018,348.6989707389694,0.8956417587007153,2,0.0
ctxfree,w03-jan-scarcity,2024-01-17,12,26.201156041576844,-0.2653700056195021,0.44601208391062763,5.434439260399117,4.715712454119556,20.58607470288655,369.3737282766635,0.936166109104172,2,0.0
single005,w03-jan-scarcity,2024-01-17,13,27.189065713504267,0.5957896624253181,0.0,-14.410628636421677,0.0,41.00390468750061,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,13,26.201156041576844,0.5957896624253181,0.0,-14.410628636421677,0.0,40.015995015573196,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,14,27.189065713504267,0.44306686788317506,0.0,-12.584160535448916,0.0,39.33015938107002,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,14,26.201156041576844,0.44306686788317506,0.0,-12.584160535448916,0.0,38.34224970914261,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,15,27.189065713504267,1.5328254302097264,0.0,0.811447321131098,0.0,24.844792962163467,348.6989707389694,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,15,26.201156041576844,1.2421086344513128,0.0,0.13193745517069289,0.0,24.82710995195484,369.3737282766635,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,16,27.189065713504267,0.5967014809770319,0.0,-16.06520572346019,0.0,42.65756995598744,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,16,26.201156041576844,0.5967014809770319,0.0,-16.06520572346019,0.0,41.66966028406,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,17,27.189065713504267,-0.7225290828985749,1.079794197478618,22.520798710924637,11.416728668625694,4.311001887999566,348.6989707389694,0.861557545829912,2,0.0
