week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-02,3,B3,16.155221068817248,0.1615522106881725,76.29619504127773,0.0,64.37831368990008,-140.51295652048964,0.0,,0,0,0.0,1,0,0,3.7638519911901653,-0.29923093173734117
mild,2024-04-02,3,B4,0.0,0.0,76.59542597301507,0.0,67.68138253866472,-144.2768085116798,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-02,3,B5,1000.0,3.5075000000000003,2.2980555555555555,0.0,0.0,-7.0097336377473365,0.0,1.0,0,0,0.0,0,0,0,-7.0097336377473365,0.0
mild,2024-04-02,3,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0.0,0,0,0,1.623,0.0
mild,2024-04-02,4,B1,0.0,0.0,74.82845295587323,0.0,43.42017073829416,-118.24862369416739,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-02,4,B2,61.7160408699308,1.0016513433189769,74.72083624657147,0.0,43.05566911744417,-116.77485402069665,0.0,,0,0,0.0,3,0,0,1.4737696734707413,-0.10761670930176592
mild,2024-04-02,4,B3,16.155221068817248,0.1615522106881725,74.52953792259498,0.0,42.409468747824775,-116.77745445973159,0.0,,0,0,0.0,2,0,0,1.4711692344358056,-0.29891503327824864
mild,2024-04-02,4,B4,0.0,0.0,74.82845295587323,0.0,43.42017073829416,-118.24862369416739,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-02,4,B5,1000.0,3.5075000000000003,0.33381944444444445,0.0,0.0,-5.045497526636225,0.0,1.0,0,0,0.0,0,0,0,-5.045497526636225,0.0
mild,2024-04-02,4,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0.0,0,0,0,1.623,0.0
mild,2024-04-02,5,B1,0.0,0.0,77.86871283463665,0.0,42.71146958264285,-120.5801824172795,0.0,,0,0,0.0,2,0,0,0.0,0.0
